Data,Sentiment,Classification,Language
,0.0,POSITIVE,Unknown
"Artificial intelligence(AI), in its broadest sense, isintelligenceexhibited bymachines, particularlycomputer systems. It is afield of researchincomputer sciencethat develops and studies methods andsoftwarethat enable machines toperceive their environmentand uselearningand intelligence to take actions that maximize their chances of achieving defined goals.[1]Such machines may be called AIs.",-0.6,NEGATIVE,en
"High-profileapplications of AIinclude advancedweb search engines(e.g.,Google Search);recommendation systems(used byYouTube,Amazon, andNetflix);virtual assistants(e.g.,Google Assistant,Siri, andAlexa);autonomous vehicles(e.g.,Waymo);generativeandcreativetools (e.g.,ChatGPTandAI art); andsuperhumanplay and analysis instrategy games(e.g.,chessandGo). However, many AI applications are not perceived as AI: ""A lot of cutting edge AI has filtered into general applications, often without being called AI because once something becomes useful enough and common enough it'snot labeled AI anymore.""[2][3]",-0.007142857142857141,POSITIVE,en
"Various subfields of AI research are centered around particular goals and the use of particular tools. The traditional goals of AI research includereasoning,knowledge representation,planning,learning,natural language processing, perception, and support forrobotics.[a]General intelligence—the ability to complete any task performed by a human on an at least equal level—is among the field's long-term goals.[4]To reach these goals, AI researchers have adapted and integrated a wide range of techniques, includingsearchandmathematical optimization,formal logic,artificial neural networks, and methods based onstatistics,operations research, andeconomics.[b]AI also draws uponpsychology,linguistics,philosophy,neuroscience, and other fields.[5]",-0.009166666666666665,POSITIVE,en
"Artificial intelligence was founded as an academic discipline in 1956,[6]and the field went through multiple cycles of optimism throughoutits history,[7][8]followed by periods of disappointment and loss of funding, known asAI winters.[9][10]Funding and interest vastly increased after 2012 whendeep learningoutperformed previous AI techniques.[11]This growth accelerated further after 2017 with thetransformer architecture,[12]and by the early 2020s many billions of dollars were being invested in AI and the field experienced rapid ongoingprogressin what has become known as theAI boom. The emergence of advanced generative AI in the midst of the AI boom and its ability to create and modify content exposed several unintended consequences and harms in the present and raised concerns about therisks of AIandits long-term effectsin the future, prompting discussions aboutregulatory policiesto ensure thesafety and benefits of the technology.",0.03095238095238096,NEGATIVE,en
The general problem of simulating (or creating) intelligence has been broken into subproblems. These consist of particular traits or capabilities that researchers expect an intelligent system to display. The traits described below have received the most attention and cover the scope of AI research.[a],0.22333333333333333,POSITIVE,en
"Early researchers developed algorithms that imitated step-by-step reasoning that humans use when they solve puzzles or make logicaldeductions.[13]By the late 1980s and 1990s, methods were developed for dealing withuncertainor incomplete information, employing concepts fromprobabilityandeconomics.[14]",6.938893903907228e-18,POSITIVE,en
"Many of these algorithms are insufficient for solving large reasoning problems because they experience a ""combinatorial explosion"": They become exponentially slower as the problems grow.[15]Even humans rarely use the step-by-step deduction that early AI research could model. They solve most of their problems using fast, intuitive judgments.[16]Accurate and efficient reasoning is an unsolved problem.",0.30238095238095236,NEGATIVE,en
"Knowledge representationandknowledge engineering[17]allow AI programs to answer questions intelligently and make deductions about real-world facts. Formal knowledge representations are used in content-based indexing and retrieval,[18]scene interpretation,[19]clinical decision support,[20]knowledge discovery (mining ""interesting"" and actionable inferences from largedatabases),[21]and other areas.[22]",0.39166666666666666,POSITIVE,en
"Aknowledge baseis a body of knowledge represented in a form that can be used by a program. Anontologyis the set of objects, relations, concepts, and properties used by a particular domain of knowledge.[23]Knowledge bases need to represent things such as objects, properties, categories, and relations between objects;[24]situations, events, states, and time;[25]causes and effects;[26]knowledge about knowledge (what we know about what other people know);[27]default reasoning(things that humans assume are true until they are told differently and will remain true even when other facts are changing);[28]and many other aspects and domains of knowledge.",0.11018518518518519,POSITIVE,en
"Among the most difficult problems in knowledge representation are the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous);[29]and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally).[16]There is also the difficulty ofknowledge acquisition, the problem of obtaining knowledge for AI applications.[c]",0.11000000000000001,NEGATIVE,en
"An ""agent"" is anything that perceives and takes actions in the world. Arational agenthas goals or preferences and takes actions to make them happen.[d][32]Inautomated planning, the agent has a specific goal.[33]Inautomated decision-making, the agent has preferences—there are some situations it would prefer to be in, and some situations it is trying to avoid. The decision-making agent assigns a number to each situation (called the ""utility"") that measures how much the agent prefers it. For each possible action, it can calculate the ""expected utility"": theutilityof all possible outcomes of the action, weighted by the probability that the outcome will occur. It can then choose the action with the maximum expected utility.[34]",0.03333333333333334,NEGATIVE,en
"Inclassical planning, the agent knows exactly what the effect of any action will be.[35]In most real-world problems, however, the agent may not be certain about the situation they are in (it is ""unknown"" or ""unobservable"") and it may not know for certain what will happen after each possible action (it is not ""deterministic""). It must choose an action by making a probabilistic guess and then reassess the situation to see if the action worked.[36]",0.14785714285714288,NEGATIVE,en
"In some problems, the agent's preferences may be uncertain, especially if there are other agents or humans involved. These can be learned (e.g., withinverse reinforcement learning), or the agent can seek information to improve its preferences.[37]Information value theorycan be used to weigh the value of exploratory or experimental actions.[38]The space of possible future actions and situations is typicallyintractablylarge, so the agents must take actions and evaluate situations while being uncertain of what the outcome will be.",-0.004999999999999999,NEGATIVE,en
"AMarkov decision processhas atransition modelthat describes the probability that a particular action will change the state in a particular way and areward functionthat supplies the utility of each state and the cost of each action. Apolicyassociates a decision with each possible state. The policy could be calculated (e.g., byiteration), beheuristic, or it can be learned.[39]",0.10666666666666666,NEGATIVE,en
Game theorydescribes the rational behavior of multiple interacting agents and is used in AI programs that make decisions that involve other agents.[40],-0.17500000000000002,POSITIVE,en
Machine learningis the study of programs that can improve their performance on a given task automatically.[41]It has been a part of AI from the beginning.[e],0.0,NEGATIVE,en
"There are several kinds of machine learning.Unsupervised learninganalyzes a stream of data and finds patterns and makes predictions without any other guidance.[44]Supervised learningrequires labeling the training data with the expected answers, and comes in two main varieties:classification(where the program must learn to predict what category the input belongs in) andregression(where the program must deduce a numeric function based on numeric input).[45]",-0.014583333333333337,NEGATIVE,en
"Inreinforcement learning, the agent is rewarded for good responses and punished for bad ones. The agent learns to choose responses that are classified as ""good"".[46]Transfer learningis when the knowledge gained from one problem is applied to a new problem.[47]Deep learningis a type of machine learning that runs inputs through biologically inspiredartificial neural networksfor all of these types of learning.[48]",0.2090909090909091,NEGATIVE,en
"Computational learning theorycan assess learners bycomputational complexity, bysample complexity(how much data is required), or by other notions ofoptimization.[49]",0.037500000000000006,NEGATIVE,en
"Natural language processing(NLP)[50]allows programs to read, write and communicate in human languages such asEnglish. Specific problems includespeech recognition,speech synthesis,machine translation,information extraction,information retrievalandquestion answering.[51]",0.025,NEGATIVE,en
"Early work, based onNoam Chomsky'sgenerative grammarandsemantic networks, had difficulty withword-sense disambiguation[f]unless restricted to small domains called ""micro-worlds"" (due to the common sense knowledge problem[29]).Margaret Mastermanbelieved that it was meaning and not grammar that was the key to understanding languages, and thatthesauriand not dictionaries should be the basis of computational language structure.",-0.11499999999999999,NEGATIVE,en
"Modern deep learning techniques for NLP includeword embedding(representing words, typically asvectorsencoding their meaning),[52]transformers(a deep learning architecture using anattentionmechanism),[53]and others.[54]In 2019,generative pre-trained transformer(or ""GPT"") language models began to generate coherent text,[55][56]and by 2023, these models were able to get human-level scores on thebar exam,SATtest,GREtest, and many other real-world applications.[57]",0.17604166666666665,POSITIVE,en
"Machine perceptionis the ability to use input from sensors (such as cameras, microphones, wireless signals, activelidar, sonar, radar, andtactile sensors) to deduce aspects of the world.Computer visionis the ability to analyze visual input.[58]",0.0,POSITIVE,en
"The field includesspeech recognition,[59]image classification,[60]facial recognition,object recognition,[61]object tracking,[62]androbotic perception.[63]",0.0,NEGATIVE,en
"Affective computingis a field that comprises systems that recognize, interpret, process, or simulate humanfeeling, emotion, and mood.[65]For example, somevirtual assistantsare programmed to speak conversationally or even to banter humorously; it makes them appear more sensitive to the emotional dynamics of human interaction, or to otherwise facilitatehuman–computer interaction.",0.22000000000000003,NEGATIVE,en
"However, this tends to give naïve users an unrealistic conception of the intelligence of existing computer agents.[66]Moderate successes related to affective computing include textualsentiment analysisand, more recently,multimodal sentiment analysis, wherein AI classifies the effects displayed by a videotaped subject.[67]",0.0,POSITIVE,en
A machine withartificial general intelligenceshould be able to solve a wide variety of problems with breadth and versatility similar tohuman intelligence.[4],0.11250000000000002,POSITIVE,en
AI research uses a wide variety of techniques to accomplish the goals above.[b],-0.1,POSITIVE,en
AI can solve many problems by intelligently searching through many possible solutions.[68]There are two very different kinds of search used in AI:state space searchandlocal search.,0.36,POSITIVE,en
"State space searchsearches through a tree of possible states to try to find a goal state.[69]For example,planningalgorithms search through trees of goals and subgoals, attempting to find a path to a target goal, a process calledmeans-ends analysis.[70]",0.0,NEGATIVE,en
"Simple exhaustive searches[71]are rarely sufficient for most real-world problems: thesearch space(the number of places to search) quickly grows toastronomical numbers. The result is a search that istoo slowor never completes.[15]""Heuristics"" or ""rules of thumb"" can help prioritize choices that are more likely to reach a goal.[72]",0.2722222222222222,NEGATIVE,en
"Adversarial searchis used forgame-playingprograms, such as chess or Go. It searches through atreeof possible moves and countermoves, looking for a winning position.[73]",0.16666666666666666,NEGATIVE,en
Local searchusesmathematical optimizationto find a solution to a problem. It begins with some form of guess and refines it incrementally.[74],0.0,NEGATIVE,en
"Gradient descentis a type of local search that optimizes a set of numerical parameters by incrementally adjusting them to minimize aloss function. Variants of gradient descent are commonly used to trainneural networks,[75]through thebackpropagationalgorithm.",-0.15,NEGATIVE,en
"Another type of local search isevolutionary computation, which aims to iteratively improve a set of candidate solutions by ""mutating"" and ""recombining"" them,selectingonly the fittest to survive each generation.[76]",0.0,NEGATIVE,en
Distributed search processes can coordinate viaswarm intelligencealgorithms. Two popular swarm algorithms used in search areparticle swarm optimization(inspired by birdflocking) andant colony optimization(inspired byant trails).[77],0.6,NEGATIVE,en
"Formallogicis used forreasoningandknowledge representation.[78]Formal logic comes in two main forms:propositional logic(which operates on statements that are true or false and useslogical connectivessuch as ""and"", ""or"", ""not"" and ""implies"")[79]andpredicate logic(which also operates on objects, predicates and relations and usesquantifierssuch as ""EveryXis aY"" and ""There aresomeXs that areYs"").[80]",0.03888888888888884,NEGATIVE,en
"Deductive reasoningin logic is the process ofprovinga new statement (conclusion) from other statements that are given and assumed to be true (thepremises).[81]Proofs can be structured as prooftrees, in which nodes are labelled by sentences, and children nodes are connected to parent nodes byinference rules.",0.12045454545454544,NEGATIVE,en
"Given a problem and a set of premises, problem-solving reduces to searching for a proof tree whose root node is labelled by a solution of the problem and whoseleaf nodesare labelled by premises oraxioms. In the case ofHorn clauses, problem-solving search can be performed by reasoningforwardsfrom the premises orbackwardsfrom the problem.[82]In the more general case of the clausal form offirst-order logic,resolutionis a single, axiom-free rule of inference, in which a problem is solved by proving a contradiction from premises that include the negation of the problem to be solved.[83]",0.15952380952380954,NEGATIVE,en
"Inference in both Horn clause logic and first-order logic isundecidable, and thereforeintractable. However, backward reasoning with Horn clauses, which underpins computation in thelogic programminglanguageProlog, isTuring complete. Moreover, its efficiency is competitive with computation in othersymbolic programminglanguages.[84]",0.1,NEGATIVE,en
"Fuzzy logicassigns a ""degree of truth"" between 0 and 1. It can therefore handle propositions that are vague and partially true.[85]",-0.3,NEGATIVE,en
"Non-monotonic logics, including logic programming withnegation as failure, are designed to handledefault reasoning.[28]Other specialized versions of logic have been developed to describe many complex domains.",-0.004166666666666666,NEGATIVE,en
"Many problems in AI (including in reasoning, planning, learning, perception, and robotics) require the agent to operate with incomplete or uncertain information. AI researchers have devised a number of tools to solve these problems using methods fromprobabilitytheory and economics.[86]Precise mathematical tools have been developed that analyze how an agent can make choices and plan, usingdecision theory,decision analysis,[87]andinformation value theory.[88]These tools include models such asMarkov decision processes,[89]dynamicdecision networks,[90]game theoryandmechanism design.[91]",0.15,POSITIVE,en
"Bayesian networks[92]are a tool that can be used forreasoning(using theBayesian inferencealgorithm),[g][94]learning(using theexpectation–maximization algorithm),[h][96]planning(usingdecision networks)[97]andperception(usingdynamic Bayesian networks).[90]",0.0,NEGATIVE,en
"Probabilistic algorithms can also be used for filtering, prediction, smoothing, and finding explanations for streams of data, thus helping perception systems analyze processes that occur over time (e.g.,hidden Markov modelsorKalman filters).[90]",0.0,POSITIVE,en
"The simplest AI applications can be divided into two types: classifiers (e.g., ""if shiny then diamond""), on one hand, and controllers (e.g., ""if diamond then pick up""), on the other hand.Classifiers[98]are functions that usepattern matchingto determine the closest match. They can be fine-tuned based on chosen examples usingsupervised learning. Each pattern (also called an ""observation"") is labeled with a certain predefined class. All the observations combined with their class labels are known as adata set. When a new observation is received, that observation is classified based on previous experience.[45]",0.014745670995670992,POSITIVE,en
"There are many kinds of classifiers in use.[99]Thedecision treeis the simplest and most widely used symbolic machine learning algorithm.[100]K-nearest neighboralgorithm was the most widely used analogical AI until the mid-1990s, andKernel methodssuch as thesupport vector machine(SVM) displaced k-nearest neighbor in the 1990s.[101]Thenaive Bayes classifieris reportedly the ""most widely used learner""[102]at Google, due in part to its scalability.[103]Neural networksare also used as classifiers.[104]",0.19687499999999997,POSITIVE,en
"An artificial neural network is based on a collection of nodes also known asartificial neurons, which loosely model theneuronsin a biological brain. It is trained to recognise patterns; once trained, it can recognise those patterns in fresh data. There is an input, at least one hidden layer of nodes and an output. Each node applies a function and once theweightcrosses its specified threshold, the data is transmitted to the next layer. A network is typically called a deep neural network if it has at least 2 hidden layers.[104]",-0.1476923076923077,NEGATIVE,en
"Learning algorithms for neural networks uselocal searchto choose the weights that will get the right output for each input during training. The most common training technique is thebackpropagationalgorithm.[105]Neural networks learn to model complex relationships between inputs and outputs andfind patternsin data. In theory, a neural network can learn any function.[106]",0.04642857142857143,NEGATIVE,en
"Infeedforward neural networksthe signal passes in only one direction.[107]Recurrent neural networksfeed the output signal back into the input, which allows short-term memories of previous input events.Long short term memoryis the most successful network architecture for recurrent networks.[108]Perceptrons[109]use only a single layer of neurons; deep learning[110]uses multiple layers.Convolutional neural networksstrengthen the connection between neurons that are ""close"" to each other—this is especially important inimage processing, where a local set of neurons mustidentify an ""edge""before the network can identify an object.[111]",0.1509920634920635,NEGATIVE,en
"Deep learning[110]uses several layers of neurons between the network's inputs and outputs. The multiple layers can progressively extract higher-level features from the raw input. For example, inimage processing, lower layers may identify edges, while higher layers may identify the concepts relevant to a human such as digits, letters, or faces.[112]",0.052403846153846155,POSITIVE,en
"Deep learning has profoundly improved the performance of programs in many important subfields of artificial intelligence, includingcomputer vision,speech recognition,natural language processing,image classification,[113]and others. The reason that deep learning performs so well in so many applications is not known as of 2023.[114]The sudden success of deep learning in 2012–2015 did not occur because of some new discovery or theoretical breakthrough (deep neural networks and backpropagation had been described by many people, as far back as the 1950s)[i]but because of two factors: the incredible increase in computer power (including the hundred-fold increase in speed by switching toGPUs) and the availability of vast amounts of training data, especially the giantcurated datasetsused for benchmark testing, such asImageNet.[j]",0.1409848484848485,POSITIVE,en
"Generative pre-trained transformers(GPT) arelarge language models(LLMs) that generate text based on the semantic relationships between words in sentences. Text-based GPT models are pretrained on a largecorpus of textthat can be from the Internet. The pretraining consists of predicting the nexttoken(a token being usually a word, subword, or punctuation). Throughout this pretraining, GPT models accumulate knowledge about the world and can then generate human-like text by repeatedly predicting the next token. Typically, a subsequent training phase makes the model more truthful, useful, and harmless, usually with a technique calledreinforcement learning from human feedback(RLHF). Current GPT models are prone to generating falsehoods called ""hallucinations"", although this can be reduced with RLHF and quality data. They are used inchatbots, which allow people to ask a question or request a task in simple text.[122][123]",0.08,NEGATIVE,en
"Current models and services includeGemini(formerly Bard),ChatGPT,Grok,Claude,Copilot, andLLaMA.[124]MultimodalGPT models can process different types of data (modalities) such as images, videos, sound, and text.[125]",0.1,POSITIVE,en
"In the late 2010s,graphics processing units(GPUs) that were increasingly designed with AI-specific enhancements and used with specializedTensorFlowsoftware had replaced previously usedcentral processing unit(CPUs) as the dominant means for large-scale (commercial and academic)machine learningmodels' training.[126]Specializedprogramming languagessuch asPrologwere used in early AI research,[127]butgeneral-purpose programming languageslikePythonhave become predominant.[128]",-0.09166666666666667,NEGATIVE,en
"The transistor density inintegrated circuitshas been observed to roughly double every 18 months—a trend known asMoore's law, named after theIntelco-founderGordon Moore, who first identified it. Improvements inGPUshave been even faster,[129]a trend sometimes calledHuang's law,[130]named afterNvidiaco-founder and CEOJensen Huang.",0.125,NEGATIVE,en
"AI and machine learning technology is used in most of the essential applications of the 2020s, including:search engines(such asGoogle Search),targeting online advertisements,recommendation systems(offered byNetflix,YouTubeorAmazon), drivinginternet traffic,targeted advertising(AdSense,Facebook),virtual assistants(such asSiriorAlexa),autonomous vehicles(includingdrones,ADASandself-driving cars),automatic language translation(Microsoft Translator,Google Translate),facial recognition(Apple'sFace IDorMicrosoft'sDeepFaceandGoogle'sFaceNet) andimage labeling(used byFacebook, Apple'siPhotoandTikTok). The deployment of AI may be overseen by aChief automation officer(CAO).",0.25,NEGATIVE,en
"The application of AI inmedicineandmedical researchhas the potential to increase patient care and quality of life.[131]Through the lens of theHippocratic Oath, medical professionals are ethically compelled to use AI, if applications can more accurately diagnose and treat patients.[132][133]",0.22000000000000003,POSITIVE,en
"For medical research, AI is an important tool for processing and integratingbig data. This is particularly important fororganoidandtissue engineeringdevelopment which usemicroscopyimaging as a key technique in fabrication.[134]It has been suggested that AI can overcome discrepancies in funding allocated to different fields of research.[134]New AI tools can deepen the understanding of biomedically relevant pathways. For example,AlphaFold 2(2021) demonstrated the ability to approximate, in hours rather than months, the 3Dstructure of a protein.[135]In 2023, it was reported that AI-guided drug discovery helped find a class of antibiotics capable of killing two different types of drug-resistant bacteria.[136]In 2024, researchers used machine learning to accelerate the search forParkinson's diseasedrug treatments. Their aim was to identify compounds that block the clumping, or aggregation, ofalpha-synuclein(the protein that characterises Parkinson's disease). They were able to speed up the initial screening process ten-fold and reduce the cost by a thousand-fold.[137][138]",0.13636363636363638,POSITIVE,en
"Game playingprograms have been used since the 1950s to demonstrate and test AI's most advanced techniques.[139]Deep Bluebecame the first computer chess-playing system to beat a reigning world chess champion,Garry Kasparov, on 11 May 1997.[140]In 2011, in aJeopardy!quiz showexhibition match,IBM'squestion answering system,Watson, defeated the two greatestJeopardy!champions,Brad RutterandKen Jennings, by a significant margin.[141]In March 2016,AlphaGowon 4 out of 5 games ofGoin a match with Go championLee Sedol, becoming the firstcomputer Go-playing system to beat a professional Go player withouthandicaps. Then, in 2017, itdefeated Ke Jie, who was the best Go player in the world.[142]Other programs handleimperfect-informationgames, such as thepoker-playing programPluribus.[143]DeepMinddeveloped increasingly generalisticreinforcement learningmodels, such as withMuZero, which could be trained to play chess, Go, orAtarigames.[144]In 2019, DeepMind's AlphaStar achieved grandmaster level inStarCraft II, a particularly challenging real-time strategy game that involves incomplete knowledge of what happens on the map.[145]In 2021, an AI agent competed in a PlayStationGran Turismocompetition, winning against four of the world's best Gran Turismo drivers using deep reinforcement learning.[146]In 2024, Google DeepMind introduced SIMA, a type of AI capable of autonomously playing nine previously unseenopen-worldvideo games by observing screen output, as well as executing short, specific tasks in response to natural language instructions.[147]",0.228968253968254,NEGATIVE,en
"Large language models, such asGPT-4,Gemini,Claude,LLaMaorMistral, are increasingly used in mathematics. These probabilistic models are versatile, but can also produce wrong answers in the form ofhallucinations. They sometimes need a large database of mathematical problems to learn from, but also methods such assupervisedfine-tuningor trainedclassifierswith human-annotated data to improve answers for new problems and learn from corrections.[148]A February 2024 study showed that the performance of some language models for reasoning capabilities in solving math problems not included in their training data was low, even for problems with only minor deviations from trained data.[149]One technique to improve their performance involves training the models to produce correctreasoningsteps, rather than just the correct result.[150]In January 2025, Microsoft proposed the technique rStar-Math that leveragesMonte Carlo tree searchand step-by-step reasoning, enabling a relatively small language model likeQwen-7Bto solve 53% of theAIME2024 and 90% of the MATH benchmark problems.[151]",-0.021369539551357734,NEGATIVE,en
"Alternatively, dedicated models for mathematical problem solving with higher precision for the outcome including proof of theorems have been developed such asAlphaTensor,AlphaGeometryandAlphaProofall fromGoogle DeepMind,[152]LlemmafromEleutherAI[153]orJulius.[154]",0.0875,NEGATIVE,en
"When natural language is used to describe mathematical problems, converters can transform such prompts into a formal language such asLeanto define mathematical tasks.",0.02,NEGATIVE,en
"Some models have been developed to solve challenging problems and reach good results in benchmark tests, others to serve as educational tools in mathematics.[155]",0.38749999999999996,POSITIVE,en
Topological deep learningintegrates varioustopologicalapproaches.,0.0,POSITIVE,en
"Finance is one of the fastest growing sectors where applied AI tools are being deployed: from retail online banking to investment advice and insurance, where automated ""robot advisers"" have been in use for some years.[156]",0.0,POSITIVE,en
"World Pensionsexperts like Nicolas Firzli insist it may be too early to see the emergence of highly innovative AI-informed financial products and services: ""the deployment of AI tools will simply further automatise things: destroying tens of thousands of jobs in banking, financial planning, and pension advice in the process, but I'm not sure it will unleash a new wave of [e.g., sophisticated] pension innovation.""[157]",0.08737373737373738,NEGATIVE,en
"Various countries are deploying AI military applications.[158]The main applications enhancecommand and control, communications, sensors, integration and interoperability.[159]Research is targeting intelligence collection and analysis, logistics, cyber operations, information operations, and semiautonomous andautonomous vehicles.[158]AI technologies enable coordination of sensors and effectors, threat detection and identification, marking of enemy positions,target acquisition, coordination and deconfliction of distributedJoint Firesbetween networked combat vehicles involving manned and unmanned teams.[159]",0.022222222222222216,POSITIVE,en
"AI has been used in military operations in Iraq, Syria, Israel and Ukraine.[158][160][161][162]",-0.1,NEGATIVE,en
"Generative artificial intelligence(generative AI, GenAI,[163]or GAI) is a subset of artificial intelligence that uses generative models to produce text, images, videos, or other forms of data.[164][165][166]These modelslearnthe underlying patterns and structures of theirtraining dataand use them to produce new data[167][168]based on the input, which often comes in the form of natural languageprompts.[169][170]",-0.21772727272727269,NEGATIVE,en
"Improvements intransformer-baseddeepneural networks, particularlylarge language models(LLMs), enabled anAI boomof generative AI systems in the 2020s. These includechatbotssuch asChatGPT,Copilot,Gemini, andLLaMA;text-to-imageartificial intelligence image generationsystems such asStable Diffusion,Midjourney, andDALL-E; andtext-to-videoAI generators such asSora.[171][172][173][174]Companies such asOpenAI,Anthropic,Microsoft,Google, andBaiduas well as numerous smaller firms have developed generative AI models.[169][175][176]",0.016666666666666666,POSITIVE,en
"Artificial intelligent (AI) agents are software entities designed to perceive their environment, make decisions, and take actions autonomously to achieve specific goals. These agents can interact with users, their environment, or other agents. AI agents are used in various applications, includingvirtual assistants,chatbots,autonomous vehicles,game-playing systems, andindustrial robotics. AI agents operate within the constraints of their programming, available computational resources, and hardware limitations. This means they are restricted to performing tasks within their defined scope and have finite memory and processing capabilities. In real-world applications, AI agents often face time constraints for decision-making and action execution. Many AI agents incorporate learning algorithms, enabling them to improve their performance over time through experience or training. Using machine learning, AI agents can adapt to new situations and optimise their behaviour for their designated tasks.[185][186][187]",0.16113636363636363,NEGATIVE,en
"Applications of AI in this domain include AI-enabled menstruation and fertility trackers that analyze user data to offer prediction,[188]AI-integrated sex toys (e.g.,teledildonics),[189]AI-generated sexual education content,[190]and AI agents that simulate sexual and romantic partners (e.g.,Replika).[191]AI is also used for the production of non-consensualdeepfake pornography, raising significant ethical and legal concerns.[192]",0.29583333333333334,NEGATIVE,en
AI technologies have also been used to attempt to identifyonline gender-based violenceand onlinesexual groomingof minors.[193][194],0.0,NEGATIVE,en
